dataset,n_subjects,mean_trials_A,mean_trials_B,mean_N1_peak_uv,mean_P3b_peak_uv,mean_N1_snr,mean_P3b_snr,rank_score
mne-hpf_1.5_lpf_40_baseline-off,12,77.41666666666667,83.83333333333333,-1.7363546499779223,1.7293008880343261,2.2904904961779025,2.677112842463831,2.483801669320867
hpf_2.0_lpf_45_baseline-off,12,79.25,86.41666666666667,-1.8547946937211808,1.5242006579027196,2.4016535701528188,2.4426641954000385,2.4221588827764284
hpf_2.0_lpf_35_baseline-off,12,79.25,86.41666666666667,-1.8267075695176438,1.4923487804554518,2.4151305626353925,2.4257900369523795,2.420460299793886
hpf_1.5_lpf_35_baseline-on,12,79.25,86.41666666666667,-1.865750385417197,1.4914691546570478,2.4391435359660893,2.401081288897821,2.420112412431955
hpf_2.0_lpf_35_baseline-on,12,79.25,86.41666666666667,-1.8303955857749694,1.4987643144399436,2.4066280100284825,2.4285519600698344,2.4175899850491582
hpf_1.5_lpf_35_baseline-off,12,79.25,86.41666666666667,-1.877687162897897,1.4776374511838437,2.4562169366370017,2.3758997018796446,2.4160583192583234
hpf_2.0_lpf_40_baseline-on,12,79.25,86.41666666666667,-1.8552981114478904,1.5074387278814985,2.413128562577991,2.4153808054309014,2.414254684004446
hpf_2.0_lpf_45_baseline-on,12,79.25,86.41666666666667,-1.8495213644188058,1.5276962522531317,2.3900492568536014,2.4377580272165993,2.4139036420351
hpf_2.0_lpf_40_baseline-off,12,79.25,86.41666666666667,-1.8492168807857314,1.5025644451425284,2.411173104794622,2.4136948281096364,2.412433966452129
hpf_1.0_lpf_35_baseline-on,12,79.25,86.41666666666667,-1.8889402280383683,1.4860546981352052,2.4691696884928525,2.353668583675833,2.4114191360843424
hpf_1.5_lpf_40_baseline-on,12,79.25,86.41666666666667,-1.8821800453821924,1.5037864369699419,2.427511300120199,2.3922272660234287,2.4098692830718136
hpf_1.5_lpf_40_baseline-off,12,79.25,86.41666666666667,-1.891292466384641,1.4910003473886657,2.439380490732019,2.3729337145310017,2.4061571026315103
hpf_1.0_lpf_40_baseline-on,12,79.25,86.41666666666667,-1.9048209662335662,1.497849641958136,2.456173328424971,2.3533781867700703,2.4047757575975206
hpf_1.0_lpf_35_baseline-off,12,79.25,86.41666666666667,-1.904585171596531,1.4670723628761302,2.4909342820892686,2.315804447090277,2.403369364589773
hpf_1.5_lpf_45_baseline-on,12,79.25,86.41666666666667,-1.8732053122011967,1.5185661058558466,2.3975706291784733,2.402551142337853,2.400060885758163
hpf_1.5_lpf_45_baseline-off,12,79.25,86.41666666666667,-1.8878356078947043,1.5069906165993145,2.412663553276378,2.3858162113124393,2.3992398822944088
hpf_1.0_lpf_45_baseline-on,12,79.25,86.41666666666667,-1.8896984277015927,1.5161248118847785,2.426606104868933,2.3695265524249165,2.398066328646925
hpf_1.0_lpf_40_baseline-off,12,79.25,86.41666666666667,-1.9205463073567213,1.4791607634244253,2.4746866522152255,2.319230351051161,2.3969585016331934
hpf_1.0_lpf_45_baseline-off,12,79.25,86.41666666666667,-1.906070678624492,1.4964926639380163,2.4394373795961064,2.331822470515912,2.3856299250560093
